,t_shem_esek,t_hesber_mahut_esek,t_categoria,t_ktovet,mahuiot,cords
182,מכבסת אקספרס,6.4 - מכבסה וייבוש בשירות עצמי.,מסחר ושונות,הרצל 92 ,"6.4 - מכבסה וייבוש בשירות עצמי.,","(32.056607, 34.77071)"
185,דפוס מוריס,בית דפוס,"תעשיה, כימיה, מחצב",לוינסקי 37 ,"בית דפוס,","(32.059843, 34.771399)"
188,מלון מקסים תל אביב,7.1 א - בית מלון שמספר החדרים קטן מ- 100 .,עינוג ציבורי כללי,הירקון 86 ,"בית מלון(71 חדרים ),מזנון - לרבות צריכת משקאות משכרים במקום,","(32.0775593, 34.7675004)"
193,אולם ספורט סמטת כביר 21,אולם ספורט -  אולם לעריכת מופעי-  ספורט (בנוכחות קהל),עינוג ציבורי כללי,כביר 21 ,"אולם ספורט -  אולם לעריכת מופעי-  ספורט (בנוכחות קהל),השמעת מוסיקה ריקודים והופעת אומנים,","(32.050438, 34.787841)"
194,מרכולית פילי,מכלת,מזון,"מח""ל 79 ","מכלת,מכירת ירקות ומוצרי  מזון קפואים,","(32.049602, 34.812073)"
198,מאירהוף,אולם מאירהוף למופעי תיאטרון קונצרטים ומופעי בידור,עינוג ציבורי כללי,פריש דניאל 1 ,"אולם מאירהוף למופעי תיאטרון קונצרטים ומופעי בידור,","(32.074489, 34.782439)"
206,מלון הרודס,"בית מלון (22 קומות, 355 חדרים).",עינוג ציבורי כללי,הירקון 155 ,"בית מלון (22 קומות, 355 חדרים).,","(32.08455795, 34.76918269825558)"
207,הדרים- טרקלין R,"מסעדת הדרים "" טרקלין""  לרבות צריכת משקאות משכרים במקום
.",מזון,הירקון 155 ,"מסעדת הדרים "" טרקלין""  לרבות צריכת משקאות משכרים במקום
.,","(32.08455795, 34.76918269825558)"
208,בית קפה - לובי,בית קפה לרבות צריכת משקאות משכרים במקום,מזון,הירקון 155 ,"בית קפה לרבות צריכת משקאות משכרים במקום,","(32.08455795, 34.76918269825558)"
210,פיצה דומינו,ייצור בצק ומכירת בצק קפוא,מזון,רבניצקי 5 ,"ייצור בצק ומכירת בצק קפוא,","(32.066009, 34.789627)"
212,מוסך מיכה,מוסך- פחחות וצביעת רכב.,רכב ותחבורה,גולומב 24 ,"מוסך- פחחות וצביעת רכב.,","(32.050641, 34.783293)"
213,מלון גרנד ביץ-מסעדה,מסעדה לרבות צריכת משקאות משכרים במקום,מזון,נורדאו 8 ,"מסעדה לרבות צריכת משקאות משכרים במקום,","(31.8929166, 34.8157974)"
214,מלון גרנד ביץ-בריכה,בריכת שחיה,עינוג ציבורי כללי,נורדאו 8 ,"בריכת שחיה,","(31.8929166, 34.8157974)"
216,מספרת קו,מספרה .,"בריאות, רוקחות, קוסמטיקה",אבן גבירול 151 ,"מספרה .,","(32.090748, 34.7826324)"
226,בני יהודה,מקום לעריכת תחרויות ומופעי ספורט(תפוסת קהל עד 2086 איש),עינוג ציבורי כללי,כביר 8 ,"מקום לעריכת תחרויות ומופעי ספורט(תפוסת קהל עד 2086 איש),","(36.552075, 52.6873776)"
230,הנביא,"קיוסק-מכירת ממתקים, משקאות קלים ללא אלכהול, שלגונים ודברי מאפה באריזות סגורות.
",מזון,ירמיהו 39 ,"קיוסק-מכירת ממתקים, משקאות קלים ללא אלכהול, שלגונים ודברי מאפה באריזות סגורות.
,","(31.7906305, 35.2015609)"
235,דפוס עמנואל,בית דפוס.,"תעשיה, כימיה, מחצב",מזרחי 28 ,"בית דפוס.,","(32.058279, 34.769432)"
236,בית מרקחת שפע,"1.1 - בית מרקחת  (למעט בקופת חולים ולמעט בבית חולים) 1.1
","בריאות, רוקחות, קוסמטיקה",בן יהודה 180 ,"1.1 - בית מרקחת  (למעט בקופת חולים ולמעט בבית חולים) 1.1
,","(32.087947, 34.773559)"
239,לה -פארק,"בית אוכל להגשת שתיה קלה וחמה, ממתקים, נקניקיה בלחמניה, מיצים טבעיים, עוגות ממקור מאושר, טוסטים, פיצות מוכנות ממקור מאושר, גלידה מוכנה ממקור מאושר כחוק, הגשה בכלים חד פעמי.",מזון,רוקח ישראל 98ד,"בית אוכל להגשת שתיה קלה וחמה, ממתקים, נקניקיה בלחמניה, מיצים טבעיים, עוגות ממקור מאושר, טוסטים, פיצות מוכנות ממקור מאושר, גלידה מוכנה ממקור מאושר כחוק, הגשה בכלים חד פעמי.,","(31.9595402, 34.8081028)"
240,מעדנית אמיגה,מעדניה - מכירת מצרכי מזון,מזון,נוריאל 8 ,"מעדניה - מכירת מצרכי מזון,","(32.0526118, 34.7908276)"
241,גוניור,ייצור מוצרי פלסטיק,"תעשיה, כימיה, מחצב",דיזנגוף 66 ,"ייצור מוצרי פלסטיק,","(32.076189, 34.774914)"
243,אטליז  דעבול יוסף,איטליז (מכירת בשר בקר ועוף טרי),מזון,נוריאל 9 ,"איטליז (מכירת בשר בקר ועוף טרי),מכירת בשר קפוא,","(32.052574, 34.791131)"
246,הפיצוציה,מכולת.,מזון,יהודה הלוי 95 ,"מכולת.,","(32.065454, 34.778015)"
247, טוליפ,מסעדה  (ללא הכנת דגים + הכנת בלינצס מבלילה מוכנה של יצרן  מאושר)לרבות צריכת משקאות משכרים במקום,מזון,נחמני 38 ,"מסעדה  (ללא הכנת דגים + הכנת בלינצס מבלילה מוכנה של יצרן  מאושר)לרבות צריכת משקאות משכרים במקום,","(32.064999, 34.777947)"
