,t_shem_esek,t_hesber_mahut_esek,t_categoria,t_ktovet,mahuiot,cords
7660,מוסך דניאל,מוסך לצביעת רכב.,רכב ותחבורה,בן שמן 4 ,"מוסך לצביעת רכב.,","(32.075269, 34.794498)"
7661,הילטון בריכת שחייה,בריכת שחיה,עינוג ציבורי כללי,הירקון 241 ,"בריכת שחיה,","(32.090013, 34.769878)"
7662,חניון הילטון,חניית כלי רכב,רכב ותחבורה,הירקון 241 ,"חניון במגרש ששטחו 5,700 מ""ר  ל-204 כלי רכב.(3,580 מ""ר לא מקורה ו- 2,120 מ""ר מקורה ).,","(32.090013, 34.769878)"
7667,זולו,"3.5 ב - מזון לבעלי חיים - אחסונו, הובלתו או חלוקתו, מכירתו
",חקלאות ובעלי חיים,יהודה המכבי 64 ,"מכירת מזון לבעלי חיים+ ציוד.,","(32.094079, 34.793347)"
7669,דנטאוריינט פוס,"1.2ב - תמרוקים - אחסונם - שמירתם שלא במסגרת תהליך יצור ושלא לצורך מכירה קמעונאית במקום

","בריאות, רוקחות, קוסמטיקה",הגדוד העברי 28 ,"אחסון חומרים ותכשירים ,אביזרים ומכשירים רפואיים (חומרים דנטיים),מכירת תכשירים רפואיים אביזרים ומכשירים (חומרים דנטליים),","(31.7668412, 35.2150632)"
7673,עיבוד מתכת,ציפוי מתכת,"תעשיה, כימיה, מחצב",1253 4 ,"ציפוי מתכת,","(None, None)"
7676,רכב דוד,מוסך למכונאות רכב כללית פחחות,רכב ותחבורה,נירים 8 ,"מוסך למכונאות רכב כללית פחחות,","(32.062946, 34.790869)"
7684,אמיר אליהו מספרה,1.4ב - מספרה.,"בריאות, רוקחות, קוסמטיקה",הירקון 205 ,"מספרה לגברות וגברים,מניקור.,","(32.089224, 34.770662)"
7686,פלאפל  אבי,בית אוכל להכנה והגשת פלאפל לצריכה במקום.,מזון,אבן גבירול 123 ,"בית אוכל להכנה והגשת פלאפל לצריכה במקום.,","(32.08795, 34.782134)"
7691,מפעל הפיס,עבוד מתכת,"תעשיה, כימיה, מחצב",לוינסקי 117 ,"עבוד מתכת,","(32.056323, 34.781067)"
7694,מספרת סידי,מניקור.,"בריאות, רוקחות, קוסמטיקה",זמנהוף 7 ,"מניקור.,מספרה.,","(32.021461900000006, 34.76807942696023)"
7695, ,מספרה,"בריאות, רוקחות, קוסמטיקה",פרישמן 21 ,"מספרה,טיפול  פדיקור מניקור, והרחקת שיער.,","(32.079979, 34.770577)"
7697,אפנובייק,מוסך לתיקון אופנועים.,רכב ותחבורה,שוקן זלמן 4 ,"מוסך לתיקון אופנועים.,","(32.054273, 34.772018)"
7699,"שפע גל שיווק בשר בע""מ","פירוק, עיבוד טחינת ואריזת (בשר ועופות).",מזון,המפעל 2 ,"פירוק, עיבוד טחינת ואריזת (בשר ועופות).,איחסון-בשר,עופות.,","(32.9234246, 35.0793225)"
7701,שפע  גל שווק - הובלה בקרור,"הובלת בשר, עופות ומוצריו ( מספר הרכב  30629801  מסוג פורד ).",מזון,המפעל 2 ,"הובלת בשר, עופות ומוצריו ( מספר הרכב  30629801  מסוג פורד ).,","(32.9234246, 35.0793225)"
7702,הובלה בקירור- שפע גל,"הובלת בשר, עופות ומוצריו ( מספר הרכב  79814801  סיטרואן ספרד שנת 2020 צבע לבן",מזון,המפעל 2 ,"הובלת בשר, עופות ומוצריו ( מספר הרכב  79814801  סיטרואן ספרד שנת 2020 צבע לבן,","(32.9234246, 35.0793225)"
